Name;Station;Time;Precipitation;Air temperature;Maximum mean wind speed;Weather
Bergen - Florida;SN50540;01.01.2023 01:00;0;-0.4;0.8;-
Bergen - Florida;SN50540;01.01.2023 02:00;0;0.3;2.7;-
Bergen - Florida;SN50540;01.01.2023 03:00;0;-0.8;2.3;-
Bergen - Florida;SN50540;01.01.2023 04:00;0;-1.8;1.7;-
Bergen - Florida;SN50540;01.01.2023 05:00;0;-1.9;4.3;-
Bergen - Florida;SN50540;01.01.2023 06:00;0;0.6;5.1;-
Bergen - Florida;SN50540;01.01.2023 07:00;0;-0.8;4.3;1
Bergen - Florida;SN50540;01.01.2023 08:00;0;-1.6;2.8;-
Bergen - Florida;SN50540;01.01.2023 09:00;0;-2.9;2.1;-
Bergen - Florida;SN50540;01.01.2023 10:00;0;-3.9;2.4;1
Bergen - Florida;SN50540;01.01.2023 11:00;0;-3.6;2.4;-
Bergen - Florida;SN50540;01.01.2023 12:00;0;-2.2;2.7;-
Bergen - Florida;SN50540;01.01.2023 13:00;0;-2.9;1.9;1
Bergen - Florida;SN50540;01.01.2023 14:00;0;-3.3;1.1;-
Bergen - Florida;SN50540;01.01.2023 15:00;0;-3.4;1;-
Bergen - Florida;SN50540;01.01.2023 16:00;0;-3.9;0.7;2
Bergen - Florida;SN50540;01.01.2023 17:00;0;-3.8;1.5;-
Bergen - Florida;SN50540;01.01.2023 18:00;0;-3.5;1;-
Bergen - Florida;SN50540;01.01.2023 19:00;0;-3;0.8;2
Bergen - Florida;SN50540;01.01.2023 20:00;0;-2.9;1;-
Bergen - Florida;SN50540;01.01.2023 21:00;0;-2.2;1.2;-
Bergen - Florida;SN50540;01.01.2023 22:00;0;-2.2;0.8;3
Bergen - Florida;SN50540;01.01.2023 23:00;0;-1.9;1.6;-
Bergen - Florida;SN50540;02.01.2023 00:00;0;-2;1.2;-
Bergen - Florida;SN50540;02.01.2023 01:00;0;-2;1.2;-
Bergen - Florida;SN50540;02.01.2023 02:00;0;-2.8;1;-
Bergen - Florida;SN50540;02.01.2023 03:00;0;-2.7;0.5;-
Bergen - Florida;SN50540;02.01.2023 04:00;0;-2.7;1.1;-
Bergen - Florida;SN50540;02.01.2023 05:00;0;-2;0.9;-
Bergen - Florida;SN50540;02.01.2023 06:00;0;-1.8;1.5;-
Bergen - Florida;SN50540;02.01.2023 07:00;0;-2.3;1.8;3
Bergen - Florida;SN50540;02.01.2023 08:00;0;-2;1.7;-
Bergen - Florida;SN50540;02.01.2023 09:00;0;-2.1;1.9;-
Bergen - Florida;SN50540;02.01.2023 10:00;0;-2.1;1.2;2
Bergen - Florida;SN50540;02.01.2023 11:00;0;-2.3;0.8;-
Bergen - Florida;SN50540;02.01.2023 12:00;0;-2;1.4;-
Bergen - Florida;SN50540;02.01.2023 13:00;0;-1.6;1;2
Bergen - Florida;SN50540;02.01.2023 14:00;0;-1.8;1.3;-
Bergen - Florida;SN50540;02.01.2023 15:00;0;-1.7;0.9;-
Bergen - Florida;SN50540;02.01.2023 16:00;0;-2.2;1.8;3
Bergen - Florida;SN50540;02.01.2023 17:00;0;-2.6;1.5;-
Bergen - Florida;SN50540;02.01.2023 18:00;0;-2.5;0.8;-
Bergen - Florida;SN50540;02.01.2023 19:00;0;-3.1;0.9;2
Bergen - Florida;SN50540;02.01.2023 20:00;0;-3.3;1.2;-
Bergen - Florida;SN50540;02.01.2023 21:00;0;-3.5;1.1;-
Bergen - Florida;SN50540;02.01.2023 22:00;0;-3.9;0.8;1
Bergen - Florida;SN50540;02.01.2023 23:00;0;-4;1.2;-
Bergen - Florida;SN50540;03.01.2023 00:00;0;-4.2;2.2;-
Bergen - Florida;SN50540;03.01.2023 01:00;0;-4.3;1.2;-
Bergen - Florida;SN50540;03.01.2023 02:00;0;-4.2;1.8;-
Bergen - Florida;SN50540;03.01.2023 03:00;0;-4.4;2;-
Bergen - Florida;SN50540;03.01.2023 04:00;0;-3.6;1.2;-
Bergen - Florida;SN50540;03.01.2023 05:00;0;-2.7;1.6;-
Bergen - Florida;SN50540;03.01.2023 06:00;0;-2.1;1.9;-
Bergen - Florida;SN50540;03.01.2023 07:00;0;-1.1;2;4
Bergen - Florida;SN50540;03.01.2023 08:00;0;0;2.8;-
Bergen - Florida;SN50540;03.01.2023 09:00;0.2;0.7;4.2;-
Bergen - Florida;SN50540;03.01.2023 10:00;0;2.5;4.9;3
Bergen - Florida;SN50540;03.01.2023 11:00;0;3.1;6;-
Bergen - Florida;SN50540;03.01.2023 12:00;0;3.3;5.3;-
Bergen - Florida;SN50540;03.01.2023 13:00;0;3.8;5.1;3
Bergen - Florida;SN50540;03.01.2023 14:00;0;3.8;4.6;-
Bergen - Florida;SN50540;03.01.2023 15:00;0;4.1;4.2;-
Bergen - Florida;SN50540;03.01.2023 16:00;0;4.1;4.4;2
Bergen - Florida;SN50540;03.01.2023 17:00;0;4.4;5.4;-
Bergen - Florida;SN50540;03.01.2023 18:00;0;4.5;8.9;-
Bergen - Florida;SN50540;03.01.2023 19:00;0;3.7;8.7;2
Bergen - Florida;SN50540;03.01.2023 20:00;0;4.7;7.9;-
Bergen - Florida;SN50540;03.01.2023 21:00;0;5;7.8;-
Bergen - Florida;SN50540;03.01.2023 22:00;0;5.7;7.6;3
Bergen - Florida;SN50540;03.01.2023 23:00;0;5.8;8.4;-
Bergen - Florida;SN50540;04.01.2023 00:00;0;4.9;9;-
Bergen - Florida;SN50540;04.01.2023 01:00;0;6.3;8.6;-
Bergen - Florida;SN50540;04.01.2023 02:00;0;6.9;8.1;-
Bergen - Florida;SN50540;04.01.2023 03:00;0;7.4;7.6;-
Bergen - Florida;SN50540;04.01.2023 04:00;0;7;8.4;-
Bergen - Florida;SN50540;04.01.2023 05:00;0;6.5;8.6;-
Bergen - Florida;SN50540;04.01.2023 06:00;0;6.4;9;-
Bergen - Florida;SN50540;04.01.2023 07:00;0;6.6;8.6;9
Bergen - Florida;SN50540;04.01.2023 08:00;0;6.2;6.9;-
Bergen - Florida;SN50540;04.01.2023 09:00;0.1;5.1;8.3;-
Bergen - Florida;SN50540;04.01.2023 10:00;2.5;4.2;10.7;9
Bergen - Florida;SN50540;04.01.2023 11:00;6.4;3.4;14.1;-
Bergen - Florida;SN50540;04.01.2023 12:00;4.8;3.2;15.1;-
Bergen - Florida;SN50540;04.01.2023 13:00;0.7;4.2;14.5;9
Bergen - Florida;SN50540;04.01.2023 14:00;0;5.3;8.9;-
Bergen - Florida;SN50540;04.01.2023 15:00;0;5.6;9.5;-
Bergen - Florida;SN50540;04.01.2023 16:00;0;5.6;10.7;9
Bergen - Florida;SN50540;04.01.2023 17:00;0;5.3;11.3;-
Bergen - Florida;SN50540;04.01.2023 18:00;0.1;4.8;11.6;-
Bergen - Florida;SN50540;04.01.2023 19:00;0;4.2;8.5;4
Bergen - Florida;SN50540;04.01.2023 20:00;0;2.6;10;-
Bergen - Florida;SN50540;04.01.2023 21:00;0.5;2.1;9.6;-
Bergen - Florida;SN50540;04.01.2023 22:00;0;1.7;5.2;12
Bergen - Florida;SN50540;04.01.2023 23:00;0.1;1.9;2.2;-
Bergen - Florida;SN50540;05.01.2023 00:00;0;1.3;2.1;-
Bergen - Florida;SN50540;05.01.2023 01:00;0;0.9;1.6;-
Bergen - Florida;SN50540;05.01.2023 02:00;0;0.8;1.3;-
Bergen - Florida;SN50540;05.01.2023 03:00;0.1;0.5;1.4;-
Bergen - Florida;SN50540;05.01.2023 04:00;0.2;0.4;1.3;-
Bergen - Florida;SN50540;05.01.2023 05:00;0.1;0.2;2.2;-
Bergen - Florida;SN50540;05.01.2023 06:00;0;0.5;2;-
Bergen - Florida;SN50540;05.01.2023 07:00;0;0.7;1.6;4
Bergen - Florida;SN50540;05.01.2023 08:00;0.1;0.7;2.4;-
Bergen - Florida;SN50540;05.01.2023 09:00;0.4;1.2;3.9;-
Bergen - Florida;SN50540;05.01.2023 10:00;0;2;5.5;4
Bergen - Florida;SN50540;05.01.2023 11:00;0.1;1.9;5.7;-
Bergen - Florida;SN50540;05.01.2023 12:00;0;2.2;8.2;-
Bergen - Florida;SN50540;05.01.2023 13:00;0;1.8;8.2;49
Bergen - Florida;SN50540;05.01.2023 14:00;0;1.3;7.4;-
Bergen - Florida;SN50540;05.01.2023 15:00;0;1.7;7.3;-
Bergen - Florida;SN50540;05.01.2023 16:00;0.3;1.4;7.5;12
Bergen - Florida;SN50540;05.01.2023 17:00;0.2;1.6;7.4;-
Bergen - Florida;SN50540;05.01.2023 18:00;0.1;1.8;6.9;-
Bergen - Florida;SN50540;05.01.2023 19:00;0;2;7.6;5
Bergen - Florida;SN50540;05.01.2023 20:00;0.2;2.1;5.9;-
Bergen - Florida;SN50540;05.01.2023 21:00;0.1;2.2;5.9;-
Bergen - Florida;SN50540;05.01.2023 22:00;0;3.5;8;4
Bergen - Florida;SN50540;05.01.2023 23:00;0;4.1;10.1;-
Bergen - Florida;SN50540;06.01.2023 00:00;0;4.3;10.8;-
Bergen - Florida;SN50540;06.01.2023 01:00;0;3.5;12.7;-
Bergen - Florida;SN50540;06.01.2023 02:00;0.5;2.5;12.4;-
Bergen - Florida;SN50540;06.01.2023 03:00;1.5;2.5;10.2;-
Bergen - Florida;SN50540;06.01.2023 04:00;1;3.5;10.1;-
Bergen - Florida;SN50540;06.01.2023 05:00;2;3.7;13.4;-
Bergen - Florida;SN50540;06.01.2023 06:00;1.6;4;11.6;-
Bergen - Florida;SN50540;06.01.2023 07:00;2.3;3.5;12.1;10
Bergen - Florida;SN50540;06.01.2023 08:00;2.5;3.4;10.7;-
Bergen - Florida;SN50540;06.01.2023 09:00;0.9;4.1;12.3;-
Bergen - Florida;SN50540;06.01.2023 10:00;0;4.7;13.1;4
Bergen - Florida;SN50540;06.01.2023 11:00;0;5;11.6;-
Bergen - Florida;SN50540;06.01.2023 12:00;0;5.6;12.2;-
Bergen - Florida;SN50540;06.01.2023 13:00;0;5.6;11.4;4
Bergen - Florida;SN50540;06.01.2023 14:00;0;5.9;14;-
Bergen - Florida;SN50540;06.01.2023 15:00;0.1;5.4;12.4;-
Bergen - Florida;SN50540;06.01.2023 16:00;0.7;3.9;11;5
Bergen - Florida;SN50540;06.01.2023 17:00;1.4;3.7;10.4;-
Bergen - Florida;SN50540;06.01.2023 18:00;2;4.2;8.6;-
Bergen - Florida;SN50540;06.01.2023 19:00;2.1;4.8;8.3;5
Bergen - Florida;SN50540;06.01.2023 20:00;5.9;5.1;9.6;-
Bergen - Florida;SN50540;06.01.2023 21:00;1.3;6.7;7.4;-
Bergen - Florida;SN50540;06.01.2023 22:00;0.7;7.6;3.5;5
Bergen - Florida;SN50540;06.01.2023 23:00;0;7.3;5.3;-
Bergen - Florida;SN50540;07.01.2023 00:00;0.3;7.2;3.4;-
Bergen - Florida;SN50540;07.01.2023 01:00;0.6;7.1;3.7;-
Bergen - Florida;SN50540;07.01.2023 02:00;0;6.6;3.7;-
Bergen - Florida;SN50540;07.01.2023 03:00;0;6.5;4.8;-
Bergen - Florida;SN50540;07.01.2023 04:00;1.6;6.2;5.6;-
Bergen - Florida;SN50540;07.01.2023 05:00;0.3;6.2;5.7;-
Bergen - Florida;SN50540;07.01.2023 06:00;0;6.2;4.2;-
Bergen - Florida;SN50540;07.01.2023 07:00;0;6.1;4.7;4
Bergen - Florida;SN50540;07.01.2023 08:00;0;6.3;5.2;-
Bergen - Florida;SN50540;07.01.2023 09:00;0;6.9;7.3;-
Bergen - Florida;SN50540;07.01.2023 10:00;0;7.6;8.5;4
Bergen - Florida;SN50540;07.01.2023 11:00;0;8.2;9.4;-
Bergen - Florida;SN50540;07.01.2023 12:00;0.1;8;7.7;-
Bergen - Florida;SN50540;07.01.2023 13:00;0.5;8.5;9.2;46
Bergen - Florida;SN50540;07.01.2023 14:00;0.7;8.9;9.6;-
Bergen - Florida;SN50540;07.01.2023 15:00;0.3;9.1;10.5;-
Bergen - Florida;SN50540;07.01.2023 16:00;1.7;8.8;9;9
Bergen - Florida;SN50540;07.01.2023 17:00;0.4;9.1;8.7;-
Bergen - Florida;SN50540;07.01.2023 18:00;0.5;9.2;8.9;-
Bergen - Florida;SN50540;07.01.2023 19:00;0.5;9.1;9.3;46
Bergen - Florida;SN50540;07.01.2023 20:00;1.8;8.6;8.8;-
Bergen - Florida;SN50540;07.01.2023 21:00;2.2;8.5;8.5;-
Bergen - Florida;SN50540;07.01.2023 22:00;2.1;8.4;10.2;10
Bergen - Florida;SN50540;07.01.2023 23:00;0.2;8.3;9.9;-
Bergen - Florida;SN50540;08.01.2023 00:00;1.3;7.9;9.6;-
Bergen - Florida;SN50540;08.01.2023 01:00;2.1;8.1;10.4;-
Bergen - Florida;SN50540;08.01.2023 02:00;0.9;7.9;11.1;-
Bergen - Florida;SN50540;08.01.2023 03:00;0.5;7.9;9.3;-
Bergen - Florida;SN50540;08.01.2023 04:00;0.4;7.9;8.3;-
Bergen - Florida;SN50540;08.01.2023 05:00;1.4;7.7;9.5;-
Bergen - Florida;SN50540;08.01.2023 06:00;1.5;7.8;6.8;-
Bergen - Florida;SN50540;08.01.2023 07:00;2.1;7.3;8.5;5
Bergen - Florida;SN50540;08.01.2023 08:00;1;7;7.6;-
Bergen - Florida;SN50540;08.01.2023 09:00;2.2;7;7;-
Bergen - Florida;SN50540;08.01.2023 10:00;0.1;7.5;7.3;5
Bergen - Florida;SN50540;08.01.2023 11:00;0.4;7.5;7;-
Bergen - Florida;SN50540;08.01.2023 12:00;0;7.7;6.9;-
Bergen - Florida;SN50540;08.01.2023 13:00;1.1;7.3;6.2;5
Bergen - Florida;SN50540;08.01.2023 14:00;0.2;7.4;5.3;-
Bergen - Florida;SN50540;08.01.2023 15:00;0;7.5;6.7;-
Bergen - Florida;SN50540;08.01.2023 16:00;0.1;6.8;6.1;5
Bergen - Florida;SN50540;08.01.2023 17:00;3.1;6.3;6.8;-
